GEOID,NAME,state,county,tract,pct_age65p,pct_alone65p,poverty_rate,pop_total
36047039200,"Census Tract 392, Kings County, New York",36,047,039200,11.2,76.97,11.65,3108
36047039300,"Census Tract 393, Kings County, New York",36,047,039300,5.83,86.15,22.04,4012
36047039400,"Census Tract 394, Kings County, New York",36,047,039400,20.4,57.08,26.43,2240
36005019900,"Census Tract 199, Bronx County, New York",36,005,019900,10.55,73.26,36.9,7937
36005020000,"Census Tract 200, Bronx County, New York",36,005,020000,9.12,76.94,22.21,4750
36005020100,"Census Tract 201, Bronx County, New York",36,005,020100,11.71,71.12,35.12,3887
36005020200,"Census Tract 202, Bronx County, New York",36,005,020200,15.67,69.03,22.43,2387
36005020400,"Census Tract 204, Bronx County, New York",36,005,020400,9.3,80.89,17.23,3279
36005020501,"Census Tract 205.01, Bronx County, New York",36,005,020501,12.21,72.86,47.33,6910
36005020502,"Census Tract 205.02, Bronx County, New York",36,005,020502,16.63,62.41,26.78,2285
36005020601,"Census Tract 206.01, Bronx County, New York",36,005,020601,15.15,66.09,25.48,2469
36005020900,"Census Tract 209, Bronx County, New York",36,005,020900,9.14,83.01,25.01,4466
36005021001,"Census Tract 210.01, Bronx County, New York",36,005,021001,15.05,73.87,17.25,8489
36005021002,"Census Tract 210.02, Bronx County, New York",36,005,021002,13.11,72.39,18.67,7958
36005021100,"Census Tract 211, Bronx County, New York",36,005,021100,8.79,73.32,34.02,5642
36005021200,"Census Tract 212, Bronx County, New York",36,005,021200,15.57,69.52,17.28,4931
36005021301,"Census Tract 213.01, Bronx County, New York",36,005,021301,9.79,74.82,23.4,1175
36005021302,"Census Tract 213.02, Bronx County, New York",36,005,021302,25.13,51.29,50.66,5369
36005021501,"Census Tract 215.01, Bronx County, New York",36,005,021501,7.82,75.66,25.08,4478
36005021502,"Census Tract 215.02, Bronx County, New York",36,005,021502,6.52,81.16,34.55,6397
36005021601,"Census Tract 216.01, Bronx County, New York",36,005,021601,8.7,81.27,26.13,4436
36005021602,"Census Tract 216.02, Bronx County, New York",36,005,021602,10.19,75.18,16.69,5880
36005021700,"Census Tract 217, Bronx County, New York",36,005,021700,5.18,81.86,26.76,5233
36005021800,"Census Tract 218, Bronx County, New York",36,005,021800,11.7,78.01,31.44,6010
36005021900,"Census Tract 219, Bronx County, New York",36,005,021900,12.14,71.24,33.61,857
36005022000,"Census Tract 220, Bronx County, New York",36,005,022000,6.1,83.23,41.74,1985
36005022101,"Census Tract 221.01, Bronx County, New York",36,005,022101,6.96,80.84,31.92,3908
36005022102,"Census Tract 221.02, Bronx County, New York",36,005,022102,4.88,84.43,34.99,5433
36005022200,"Census Tract 222, Bronx County, New York",36,005,022200,7.83,80.04,24.58,3064
36005022300,"Census Tract 223, Bronx County, New York",36,005,022300,11.3,73.01,37.54,5168
36005022401,"Census Tract 224.01, Bronx County, New York",36,005,022401,14.49,76.12,14.44,2470
36005022403,"Census Tract 224.03, Bronx County, New York",36,005,022403,13.01,72.2,15.89,2920
36005022404,"Census Tract 224.04, Bronx County, New York",36,005,022404,11.66,80.64,15.31,4384
